PDB	CHAIN	Uniprot_ID	LENGTH	RESOLUTION	PDB_BEG	PDB_END
5x8q	B	Q9Y618	15	2.2	2345	2359
5x8q	D	Q9Y618	14	2.2	2346	2359
5x8q	F	Q9Y618	14	2.2	2346	2359
5x8q	H	Q9Y618	15	2.2	2345	2359
5xiu	A	Q8IYW5	44	1.8	419	462
5xbk	A	Q8TEX9	366	3.223	692	809	827	911	913	974	978	1078
5xbk	B	Q8TEX9	373	3.223	693	811	826	1079
5xbk	C	Q8TEX9	368	3.223	695	787	791	810	824	1078
5xbk	D	Q8TEX9	369	3.223	695	810	826	1078
5xj3	C	P16410	115	3.2	36	97	102	154
5xj3	F	P16410	115	3.2	36	97	102	154
5xj3	I	P16410	115	3.2	36	97	102	154
5xj3	L	P16410	115	3.2	36	97	102	154
5xqh	A	Q9GZN7	223	2.04	24	46	57	63	69	91	97	129	139	275
5xjy	A	O95477	1901	4.1	3	174	198	312	352	801	819	846	903	909	920	1122	1128	1151	1164	1223	1231	1238	1322	1789	1796	1875	1916	1922	1933	2135	2141	2150	2159	2218	2229	2234
5xrr	A	P35637	6	1.503	69	74
5xri	A	Q05315	138	1.68	2	139
5y25	A	P00533	291	3.102	698	747	751	859	876	997	1008	1017
5xve	A	O75604	331	1.24	263	378	385	599
5y2r	A	P00918	258	1	4	261
5y2o	A	P37231	262	1.801	207	263	273	477
5y2o	B	P37231	253	1.801	207	239	245	268	275	461	466	474
5y35	B	P18669	233	1.994	3	235
5y35	C	P18669	237	1.994	2	238
6zkx	A	P13747	274	2.17	2	40	42	276
6zkx	B	P61769	99	2.17	3	101
5yeg	A	P49711	138	2	350	487
5yeg	B	P49711	141	2	349	489
5yd5	B	P51681	8	1.96	2	9
5yd5	D	P51681	8	1.96	2	9
5yd4	B	P51681	8	1.35	2	9
5yd4	D	P51681	8	1.35	2	9
5yd4	F	P51681	9	1.35	1	9
5yd4	H	P51681	7	1.35	3	9
5yov	A	O60885	126	1.451	42	167
5you	A	O60885	123	1.503	43	165
5y2z	B	O95970	328	2.67	224	551
5y2z	D	O95970	328	2.67	224	551
5y2z	F	O95970	328	2.67	224	551
5y2z	H	O95970	329	2.67	224	552
5y2z	J	O95970	328	2.67	224	551
5y2z	L	O95970	328	2.67	224	551
5yui	A	P00918	258	1.2	4	261
5yvc	A	Q96RR4	260	2.02	160	199	229	448
5yu7	A	Q9HAV4	1118	3.301	5	477	491	937	952	979	1010	1179
5yvt	B	P51553	333	2.4	15	347
5yul	A	P00441	154	1.9	0	153
5yul	B	P00441	154	1.9	0	153
5yul	C	P00441	154	1.9	0	153
5yul	D	P00441	154	1.9	0	153
5yul	E	P00441	154	1.9	0	153
5yul	F	P00441	153	1.9	1	153
5yul	G	P00441	154	1.9	0	153
5yul	H	P00441	154	1.9	0	153
5yul	I	P00441	154	1.9	0	153
5yul	J	P00441	126	1.9	1	66	79	125	141	153
5ywy	A	P35408	280	3.2	18	214	264	346
5yvg	X	P35637	18	4.05	509	526
5yvg	Y	P35637	14	4.05	513	526
5ywx	A	O60760	198	1.74	2	199
5ywx	B	O60760	198	1.74	2	199
5ywx	C	O60760	198	1.74	2	199
5ywx	D	O60760	198	1.74	2	199
5yy1	A	P01116	169	1.69	1	169
5z5u	A	O60885	123	1.631	44	166
5z62	J	P14406	56	3.6	25	80
5z62	K	P24311	49	3.6	30	78
5zs7	B	P18669	233	2.68	3	235
5zs7	C	P18669	234	2.68	2	235
5zsy	A	P98175	85	None	4	57	58	88
5zvb	A	Q8IUX4	150	2	-23	-23	220	241	247	373
5zvb	B	Q8IUX4	155	2	-23	-23	220	373
6a1y	A	Q05315	140	1.63	2	141
5zt0	G	Q86XI6	19	3.32042678506	59	77
5zt0	H	Q86XI6	19	3.32042678506	59	77
5zt0	I	Q86XI6	19	3.32042678506	59	77
5zt0	J	Q86XI6	19	3.32042678506	59	77
5zjf	A	P00338	331	2.602	1	331
5zjf	B	P00338	331	2.602	1	331
5zjf	C	P00338	331	2.602	1	331
5zjf	D	P00338	331	2.602	1	331
5zjf	E	P00338	331	2.602	1	331
5zjf	F	P00338	331	2.602	1	331
5zjf	G	P00338	331	2.602	1	331
5zjf	H	P00338	331	2.602	1	331
5zjf	I	P00338	331	2.602	1	331
5zjf	J	P00338	331	2.602	1	331
5zjf	K	P00338	331	2.602	1	331
5zjf	L	P00338	331	2.602	1	331
6aam	A	P29597	269	1.98	888	904	909	920	923	932	935	1049	1064	1178
6a5y	A	Q96RI1	228	2.1	244	471
6ajx	A	O60885	125	1.887	42	166
6aqf	A	P29274	295	2.51	2	208	219	306
6apn	A	P04439	271	2.22	145	368	371	417
6apn	A	P61769	99	2.22	23	121
6apn	B	P04439	273	2.22	145	417
6apn	B	P61769	99	2.22	24	122
6asd	C	Q8NFU7	44	1.85	587	630
6asr	B	Q9UBZ9	39	2.356	1001	1039
6awp	A	P31645	542	3.8	76	617
6ay5	A	Q92793	115	1.44	1083	1197
6ayd	A	P11309	272	3	34	305
6ax1	A	Q99685	280	2.26	18	297
6ax1	B	Q99685	283	2.26	6	151	160	296
6bku	A	Q96RR4	264	2	162	206	230	448
6bml	A	Q5W0Z9	292	2.95	5	296
6bml	B	Q5W0Z9	294	2.95	6	299
6bqp	A	Q96RR4	262	1.95	161	203	230	448
6bqq	A	Q96RR4	269	1.8	161	203	222	412	414	448
6bmr	A	Q06124	489	2.205	3	90	92	141	144	154	165	236	245	297	300	313	325	525
6bmr	B	Q06124	481	2.205	4	90	92	140	144	153	165	235	245	293	301	312	323	525
6bsm	A	P13497	200	2.33	1	200
6bn8	C	O60885	127	3.99003499985	42	168
6bky	A	O75874	412	2.17	3	414
6bky	B	O75874	412	2.17	3	414
6bky	C	O75874	412	2.17	3	414
6bky	D	O75874	412	2.17	3	414
6bky	E	O75874	412	2.17	3	414
6bky	F	O75874	412	2.17	3	414
6bxj	A	P05106	440	2.092	1	109	289	413	420	625
6bxj	A	P20701	179	2.092	110	288
6c3n	A	P41182	123	2.53170577659	7	129
6c3n	B	P41182	122	2.53170577659	7	128
6ccf	A	Q8N5S9	259	2.1	124	164	194	411
6ccf	B	Q8N5S9	261	2.1	124	166	194	411
6c7g	A	O00408	338	1.68	579	916
6c7g	B	O00408	338	1.68	579	916
6c7g	C	O00408	326	1.68	591	916
6c7g	D	O00408	335	1.68	582	916
6ceh	A	P00918	260	1.43	2	261
6cdy	A	Q15562	193	2.32	222	239	247	256	266	308	325	446
6cdy	B	Q15562	207	2.32	220	256	263	308	324	447
6cic	A	P29475	421	1.752	302	722
6cic	B	P29475	419	1.752	304	722
6cje	A	Q9HBH9	271	3.36	72	228	250	299	303	304	310	371
6cks	A	O60885	125	1.72	44	168
6cq7	A	Q16584	66	2	41	106
6c3o	E	Q09428	1290	3.9	2	52	68	192	262	277	286	329	353	563	573	620	677	740	766	930	994	1038	1061	1581
6c3o	F	Q09428	1290	3.9	2	52	68	192	262	277	286	329	353	563	573	620	677	740	766	930	994	1038	1061	1581
6c3o	G	Q09428	1290	3.9	2	52	68	192	262	277	286	329	353	563	573	620	677	740	766	930	994	1038	1061	1581
6c3o	H	Q09428	1290	3.9	2	52	68	192	262	277	286	329	353	563	573	620	677	740	766	930	994	1038	1061	1581
6cqt	A	P22303	531	2.273	3	258	264	492	497	542
6cqt	B	P22303	531	2.273	4	259	264	492	497	542
6cqx	A	P22303	532	2.4	3	259	263	491	497	542
6cqx	B	P22303	528	2.4	4	259	265	491	498	542
6d2k	A	Q91VS8	285	1.55	38	322
6d2z	A	Q9BQ65	187	1.18	79	265
6d2r	A	P01889	276	1.83	1	276
6d2r	B	P61769	99	1.83	1	99
6d49	A	P20138	125	1.801	18	142
6d49	B	P20138	125	1.801	18	142
6d3a	A	Q9NX46	347	1.60001013785	14	43	46	362
6d3a	B	Q9NX46	332	1.60001013785	14	43	48	58	71	361
6d3a	C	Q9NX46	341	1.60001013785	14	60	70	363
6d3a	D	Q9NX46	334	1.60001013785	14	55	71	362
6da4	A	P52333	281	2.9	815	1039	1044	1099
6da2	A	P08684	454	2.65	28	209	214	263	269	281	288	496
6df9	A	Q86T24	116	2.319	482	597
6dfd	A	Q8NE01	137	1.901	488	591	623	655
6dfd	B	Q8NE01	125	1.901	496	591	624	652
6df6	A	P03372	235	2.5	306	461	464	528	533	546
6df6	B	P03372	220	2.5	306	331	336	458	471	529	535	546
6df6	C	P03372	233	2.5	306	461	465	528	534	546
6df6	D	P03372	231	2.5	306	335	340	461	464	529	534	546
6djh	A	Q9NUW8	438	1.918	162	427	433	562	566	607
6djh	B	Q9NUW8	437	1.918	162	427	433	561	566	607
6djs	A	Q13507	233	5.8	37	128	161	185	196	311
6djs	B	Q13507	233	5.8	37	128	161	185	196	311
6djs	C	Q13507	233	5.8	37	128	161	185	196	311
6djs	D	Q13507	233	5.8	37	128	161	185	196	311
6dew	A	O75208	195	2	93	287
6dew	B	O75208	191	2	96	286
6dew	C	O75208	188	2	95	282
6dew	D	O75208	189	2	95	283
6dew	E	O75208	191	2	97	287
6dew	F	O75208	184	2	100	283
6dkp	A	P04439	275	2.966	1	275
6dkp	B	P61769	98	2.966	2	99
6dtk	A	P00441	153	2	1	153
6dtk	C	P00441	153	2	1	153
6dtk	E	P00441	153	2	1	153
6dtk	G	P00441	153	2	1	153
6dtk	I	P00441	153	2	1	153
6dzw	A	P31645	537	4.3	79	615
6e5z	A	Q99497	187	1.35	2	188
6e5t	A	P09455	134	1.55	1	134
6e8p	A	P00918	258	1.9	4	261
6e6m	A	P09455	134	1.55	1	134
6e6m	B	P09455	133	1.55	2	134
6e6m	C	P09455	133	1.55	2	134
6e6j	A	P25440	107	2.44	348	454
6e6j	B	P25440	107	2.44	348	454
6e6j	C	P25440	107	2.44	348	454
6e6j	D	P25440	107	2.44	348	454
6e6j	E	P25440	107	2.44	348	454
6e6j	F	P25440	107	2.44	348	454
6e8y	A	P21695	344	1.85	2	45	50	349
6e8y	B	P21695	340	1.85	2	122	129	293	296	349
6ea4	A	Q6P179	880	2.45	53	501	530	960
6ea4	B	Q6P179	875	2.45	54	501	534	960
6eg2	A	P51531	251	2.98	705	955
6ef5	Q	Q96RR4	7	2.44	508	514
6ef5	S	Q96RR4	7	2.44	508	514
6eha	A	P09601	214	2	10	223
6eha	B	P09601	214	2	10	223
6egs	A	Q10471	475	2.7	75	89	106	370	376	570
6egs	B	Q10471	466	2.7	75	88	105	362	376	569
6eii	A	P68400	326	1.935	2	327
6eii	B	P68400	326	1.935	2	327
6emr	A	Q96ST2	102	None	447	548
6eqj	A	P46976	245	2.18	1	192	198	232	243	260
6epp	R	P01116	168	2.4	1	168
6epp	S	Q07889	459	2.4	565	655	671	743	752	1046
6eqv	A	P09958	466	1.895	109	574
6es0	A	O43353	288	2.38	5	170	188	198	206	316
6es0	B	O43353	287	2.38	5	49	58	171	188	315
6esm	A	P14780	158	1.104	112	216	217	269
6eqs	A	Q9NXA8	269	1.32	34	302
6eqs	B	Q9NXA8	268	1.32	35	302
6eqs	C	Q9NXA8	269	1.32	34	302
6eqs	D	Q9NXA8	269	1.32	34	302
6esp	A	Q14160	111	None	6	116
6f57	B	Q9UJW3	150	3.098	188	210	216	312	318	328	361	379
6f57	C	Q9UJW3	151	3.098	181	210	216	309	318	328	363	378
6f5s	A	Q6B0I6	330	1.48	11	340
6f08	D	Q07889	9	1.9	3	11
6f08	K	Q07889	10	1.9	2	11
6f08	N	Q07889	8	1.9	3	10
6f08	Q	Q07889	10	1.9	3	12
6f7b	A	O43683	343	2	733	806	813	1009	1012	1083
6ffh	A	P41594	252	2.65	569	678	1680	1680	1689	1724	1728	1832
6fet	A	Q08499	329	1.88	83	411
6fet	B	Q08499	323	1.88	89	411
6fet	C	Q08499	324	1.88	88	411
6fet	D	Q08499	324	1.88	88	411
6ft4	A	O60885	127	1.34	42	168
6ffg	A	P25440	112	1.59	344	455
6feg	A	O43526	47	None	326	372
6feg	B	P0DP23	148	None	1	148
6feh	A	O43526	47	None	326	372
6feh	B	P0DP23	148	None	1	148
6f6u	A	Q08499	328	1.828	250	577
6f6u	B	Q08499	323	1.828	256	578
6fel	E	Q96RR4	6	2.84	508	513
6fel	F	Q96RR4	6	2.84	508	513
6fel	G	Q96RR4	7	2.84	508	514
6fel	H	Q96RR4	6	2.84	508	513
6flm	A	Q14258	195	2.009	435	629
6flm	B	Q14258	195	2.009	435	629
6flm	C	Q14258	196	2.009	435	630
6g37	A	Q8TF76	327	1.48	472	798
6g8r	B	Q13342	163	2.74	687	739	745	789	795	834	838	862
6g36	A	Q8TF76	334	1.46	24	357
6fex	A	Q08345	289	1.291	602	636	640	720	736	908
6g3a	A	Q8TF76	328	1.43	471	798
6fag	A	P00915	257	1.79	4	260
6fag	B	P00915	257	1.79	4	260
6fkq	B	Q8NBI3	19	3.07	225	243
6gdk	A	P0DP23	148	None	1	148
6ghv	A	Q9NNX6	132	2.1	253	384
6ghv	B	Q9NNX6	132	2.1	253	384
6ghv	C	Q9NNX6	133	2.1	252	384
6ghv	D	Q9NNX6	133	2.1	252	384
6ghv	E	Q9NNX6	133	2.1	252	384
6ghv	F	Q9NNX6	132	2.1	253	384
6gju	A	P13569	183	2.6	449	477	485	638
6gjs	A	P13569	218	1.95	387	404	437	636
6gk2	H	O95999	106	4.9	10	115
6gjh	A	P04792	87	2.1	84	170
6gjh	B	P04792	87	2.1	84	170
6gjh	C	P04792	87	2.1	84	170
6gjh	D	P04792	86	2.1	85	170
6gjh	E	P04792	87	2.1	84	170
6gjh	F	P04792	87	2.1	84	170
6gjh	G	P04792	87	2.1	84	170
6gjh	H	P04792	87	2.1	84	170
6god	A	P01116	171	1.71	2	167	168	172
6ff4	1	Q9Y388	122	3.4	2	123
6ff4	3	Q9BRD0	118	3.4	500	576	579	619
6ff4	A	Q6P2Q9	2238	3.4	26	50	54	2016	2067	2316
6ff4	E	O60508	130	3.4	83	202	211	220
6ff4	L	Q99459	103	3.4	8	110
6ff4	O	Q9BZJ0	253	3.4	215	467
6ff4	S	Q9UQ35	34	3.4	1	34
6ff4	V	Q9Y3C6	159	3.4	8	166
6ff4	s	Q6UX04	175	3.4	2	176
6g18	B	P61247	213	3.6	21	233
6g18	T	P39019	144	3.6	2	145
6g18	t	Q96GA3	127	3.6	247	270	291	314	352	369	414	474
6g18	u	Q2NL82	629	3.6	47	105	109	313	342	363	392	405	464	792
6g18	v	Q9BVS4	325	3.6	9	128	145	299	494	524	526	544
6g18	w	Q13895	249	3.6	179	427
6gq3	A	P08243	509	1.85	1	209	222	465	479	534
6gq3	B	P08243	509	1.85	1	209	222	465	479	534
6gvl	A	P16144	199	2.05	1457	1483	1486	1551	1561	1666
6gzm	A	P48730	291	1.59	5	295
6gzm	B	P48730	295	1.59	1	295
6h10	A	Q6B0I6	330	1.104	11	340
6h16	A	O75581	604	2.9	630	1004	1013	1101	1105	1244
6hbn	A	P68400	333	1.59	3	335
6hbn	B	P68400	333	1.59	3	335
6hci	A	Q8WZ42	97	2.12	8	104
6hci	B	Q8WZ42	99	2.12	7	105
6hci	C	Q8WZ42	96	2.12	8	103
6hci	D	Q8WZ42	97	2.12	8	104
6hov	A	O60885	124	1.85	44	167
6hor	A	P68400	328	1.8	3	330
6hoy	A	Q8N6T7	278	1.7	13	169	177	297
6hoy	B	Q8N6T7	276	1.7	15	169	177	297
6h0f	C	Q13422	29	3.25	141	169
6h0f	F	Q13422	29	3.25	141	169
6h0f	I	Q13422	29	3.25	141	169
6h0f	L	Q13422	29	3.25	141	169
6hpx	A	Q03111	143	2.3	2	144
6hpy	A	Q03111	141	2	3	143
6hq0	A	Q03111	139	1.81	5	143
6hqu	I	P51587	21	1.97	1226	1243	2052	2054
6hqu	J	P51587	21	1.97	1226	1243	2052	2054
6hqu	K	P51587	8	1.97	1226	1232	2054	2054
6hqu	L	P51587	21	1.97	1226	1243	2052	2054
6hqu	M	P51587	20	1.97	1226	1243	2053	2054
6hqu	N	P51587	4	1.97	1226	1229
6hqu	O	P51587	835	1.97	1230	2064
6hue	A	O60260	378	2.85	1	76	79	83	144	353	355	356	361	378	391	405	414	465
6hue	B	O60260	382	2.85	1	76	79	83	144	353	355	356	361	382	391	405	414	465
6hwz	A	P00915	256	1.64	6	261
6hwz	B	P00915	256	1.64	6	261
6hre	A	P10636	77	3.2	304	380
6hre	B	P10636	77	3.2	304	380
6hre	C	P10636	77	3.2	304	380
6hre	D	P10636	77	3.2	304	380
6hre	E	P10636	77	3.2	304	380
6hre	F	P10636	77	3.2	304	380
6hxf	A	O94804	285	2.09	24	69	72	187	191	313
6hxf	B	O94804	291	2.09	24	314
6hxf	C	O94804	288	2.09	24	70	72	312
6hxf	D	O94804	287	2.09	23	207	211	312
6hxk	A	P53396	262	1.85	837	1098
6hxk	B	P53396	261	1.85	837	1097
6hxk	C	P53396	260	1.85	837	1096
6hxk	D	P53396	260	1.85	837	1096
6h04	A	P01031	1219	5.6	23	47	49	168	170	178	180	457	459	663	766	1002	1008	1123	1133	1234	1243	1369
6h04	B	P13671	688	5.6	23	47	49	105	117	246	252	445	449	552	566	590	601	632	643	763
6h04	E	P07360	165	5.6	13	95	99	180
6h04	F	P07357	510	5.6	9	60	66	472	477	499	508	519	526	532	544	552
6in2	A	O95696	116	1.75	565	680
6imx	A	P02766	115	1.602	10	124
6imx	B	P02766	115	1.602	10	124
6imy	A	P02766	115	1.501	10	124
6imy	B	P02766	114	1.501	10	98	100	124
6iaa	A	Q9HCK4	815	3.6	22	749	754	840
6iaa	B	Q9HCK4	815	3.6	22	749	754	840
6iaa	C	Q9HCK4	815	3.6	22	749	754	840
6isb	A	Q15762	221	2.5	3	223
6isb	B	Q15762	218	2.5	3	164	168	223
6isb	C	Q15762	105	2.5	3	21	25	110
6inn	A	P22897	597	3.001	22	354	357	491	501	629
6inn	B	P22897	595	3.001	22	353	358	491	501	629
6inn	C	P22897	595	3.001	22	355	358	490	502	629
6inn	D	P22897	594	3.001	22	353	358	490	501	629
6iu7	B	Q12888	22	1.9	1665	1686
6iua	B	Q12888	22	1.7	1665	1686
6izn	A	P37231	265	1.75	207	269	276	477
6izn	C	Q9UBK2	10	1.75	7	16
6j08	D	Q8NHR7	36	2.9	174	209
6j08	E	Q8NHR7	31	2.9	175	205
6j08	F	Q8NHR7	34	2.9	175	208
6j5l	A	P04629	278	2.3	502	532	537	670	675	683	687	790
6j2a	A	P04439	274	1.4	1	274
6j2a	B	P61769	99	1.4	1	99
6jeh	A	P06396	708	2.95	29	153	158	255	264	277	282	630	632	753
6jeh	B	P06396	700	2.95	30	153	157	255	264	277	282	371	381	630	632	754
6jpe	A	P22455	298	1.601	452	476	479	751
6jiu	C	P0DP23	68	4.2	10	77
6jiu	F	P0DP23	68	4.2	10	77
6jiu	I	P0DP23	68	4.2	10	77
6jiu	L	P0DP23	68	4.2	10	77
6jiy	C	P0DP23	136	3.9	5	77	84	146
6jiy	F	P0DP23	136	3.9	5	77	84	146
6jiy	I	P0DP23	136	3.9	5	77	84	146
6jiy	L	P0DP23	136	3.9	5	77	84	146
6jxt	A	P00533	284	2.307	697	749	752	864	866	872	874	984
6jxr	g	P09693	115	3.7	24	138
6k7p	A	Q9UHB7	216	2.4	903	960	965	1045	1082	1158
6kai	B	P68871	146	1.45	1	146
6kai	D	P68871	146	1.45	1	146
6kai	F	P68871	146	1.45	1	146
6kai	H	P68871	146	1.45	1	146
6kcz	A	Q9Y2K6	99	None	1	99
6kbi	A	P21860	550	3	8	12	36	580
6kbi	B	P21860	588	3	5	13	33	611
6kak	A	Q9H9S5	443	2.056	46	432	438	493
6kak	B	Q9H9S5	439	2.056	46	432	439	490
6kak	C	Q9H9S5	441	2.056	47	432	439	493
6kak	D	Q9H9S5	430	2.056	47	397	400	431	439	485
6km2	A	P00918	258	0.9	4	261
6km6	A	P00918	258	1.15	4	261
6l11	A	P11309	273	2.05	33	305
6l1z	A	P68400	329	1.90820949507	2	330
6kdf	C	O43837	308	3.05	14	52	62	81	92	340
6kdf	D	O43837	308	3.05	14	52	62	81	92	340
6kdf	F	O43837	307	3.05	14	51	62	81	92	340
6kdf	H	O43837	308	3.05	14	52	62	81	92	340
6kdf	J	O43837	308	3.05	14	52	62	81	92	340
6kdf	L	O43837	308	3.05	14	52	62	81	92	340
6kdf	N	O43837	305	3.05	14	52	62	81	95	340
6kdf	P	O43837	309	3.05	14	52	61	81	92	340
6l8v	A	Q07812	76	None	53	128
6l8v	B	Q07812	76	None	53	128
6lg8	A	O60885	123	1.58	44	166
6lim	A	O60885	123	1.75909502055	44	166
6ljk	A	Q9NXA8	269	1.394	34	302
6lpk	A	P29274	296	1.8	2	208	219	307
6lpx	A	Q8N465	466	2.8	54	519
6lpx	B	Q8N465	467	2.8	53	519
6lu6	A	Q12830	110	1.97006302049	65	174
6m24	B	P61769	99	2.29	1	99
6lqg	A	Q92542	667	3.1	34	700
6lqg	B	P49768	309	3.1	75	291	376	467
6lqg	C	Q96BI3	243	3.1	2	244
6mal	A	Q9UK39	303	2.6	123	425
6mak	B	O95696	27	2.13	38	64
6mbi	A	Q9NRS6	101	2.834	8	35	40	77	89	123
6mbt	A	P01116	169	1.45	1	169
6mbt	B	P01116	169	1.45	1	169
6mbl	A	Q86TU7	481	2.197	20	500
6mbl	Y	P60709	15	2.197	66	80
6mbu	A	P01116	168	1.45	1	168
6mbu	B	P01116	158	1.45	1	59	70	168
6m8s	C	P62873	333	3.71	2	127	134	340
6m8s	D	P62873	333	3.71	2	127	134	340
6m8s	G	P62873	334	3.71	2	127	133	340
6m8s	H	P62873	332	3.71	2	127	135	340
6m8s	K	P62873	332	3.71	2	127	135	340
6mo9	A	P25440	114	1.801	74	187
6mo9	B	P25440	107	1.801	76	182
6mo9	C	P25440	106	1.801	76	181
6mhs	A	Q8NET8	607	3.2	118	149	154	462	480	508	518	754
6mhs	B	Q8NET8	607	3.2	118	149	154	462	480	508	518	754
6mhs	C	Q8NET8	607	3.2	118	149	154	462	480	508	518	754
6mhs	D	Q8NET8	607	3.2	118	149	154	462	480	508	518	754
6mvd	A	P04180	375	3.1	21	238	241	397
6mvd	B	P04180	368	3.1	21	235	243	395
6mo6	A	Q9Y6N5	409	2.59	42	450
6mo6	B	Q9Y6N5	409	2.59	42	450
6mo6	C	Q9Y6N5	409	2.59	42	450
6mo6	D	Q9Y6N5	409	2.59	42	450
6n0j	A	O00625	288	1.79	3	290
6mup	D	Q5QNW6	92	3.5	33	124
6mup	H	Q5QNW6	92	3.5	33	124
6mup	K	Q03188	20	3.5	518	537
6mup	L	Q03188	19	3.5	519	537
6mup	M	Q96H22	205	3.5	1	91	99	212
6mup	N	Q96H22	205	3.5	1	91	99	212
6n0o	A	Q9NUW8	438	1.943	162	427	433	562	566	607
6n0o	B	Q9NUW8	438	1.943	162	427	433	562	566	607
6lu8	4	Q9BZE4	605	3.13	2	544	573	634
6lu8	9	O00488	86	3.13	3	37	55	105
6lu8	D	P36578	357	3.13	5	361
6lu8	R	Q96EY4	150	3.13	17	166
6lu8	S	P50914	135	3.13	2	136
6lu8	U	P61313	203	3.13	2	204
6lu8	V	P40429	201	3.13	3	203
6lu8	a	P84098	148	3.13	2	149
6lu8	l	P46779	125	3.13	2	126
6lu8	m	P62917	248	3.13	2	249
6lu8	z	Q9BRT6	34	3.13	2	35
6n3f	A	O43719	94	2.099	260	353
6n3f	C	O43719	94	2.099	260	353
6n0m	A	P58004	366	3.3	66	221	233	240	256	271	281	295	310	480
6n0m	B	P58004	365	3.3	66	220	233	240	256	271	281	295	310	480
6n0m	C	P58004	364	3.3	66	220	233	240	256	270	281	295	310	480
6n0m	D	P58004	364	3.3	66	221	233	240	256	269	281	295	310	480
6n0m	E	P58004	365	3.3	66	221	233	240	256	270	281	295	310	480
6ne4	A	O75084	117	1.648	2	118
6nhy	A	O14763	35	None	208	242
6nhy	B	O14763	35	None	208	242
6nhy	C	O14763	35	None	208	242
6nk0	A	P29317	170	1.53	28	38	42	200
6nk0	B	P29317	173	1.53	28	200
6nh6	A	P29474	404	2.189	68	109	119	480
6nh6	B	P29474	402	2.189	67	106	119	480
6nh6	C	P29474	401	2.189	68	106	119	480
6nh6	D	P29474	403	2.189	67	107	119	480
6nk1	A	P29317	173	1.55	28	200
6nk1	B	P29317	173	1.55	28	200
6nlv	A	P00918	258	1.794	4	261
6ndd	C	P17301	191	3.05	172	362
6ndd	F	P17301	191	3.05	172	362
6ndd	I	P17301	191	3.05	172	362
6ndd	L	P17301	191	3.05	172	362
6ndd	O	P17301	191	3.05	172	362
6ndd	R	P17301	191	3.05	172	362
6nvj	A	P22455	270	2.3	453	476	479	569	570	624	643	742
6o0p	A	P10415	138	1.8	9	34	92	92	93	203
6o0m	A	P10415	139	1.75	8	34	92	92	93	203
6nze	A	P29597	250	1.96	581	609	637	785	792	863
6nze	B	P29597	254	1.96	580	609	636	785	792	815	818	867
6o4y	B	P61769	99	1.58	1	99
6o4y	C	P01116	8	1.58	2	9
6o52	A	P22303	540	3.2	4	543
6o52	B	P22303	540	3.2	4	543
6o4l	A	P49419	508	1.85	3	510
6o4l	B	P49419	507	1.85	4	510
6o4l	C	P49419	508	1.85	3	510
6o4l	D	P49419	509	1.85	3	511
6o8b	A	Q9UHD2	649	3.4	2	485	492	656
6o8b	B	Q9UHD2	653	3.4	2	654
6o8b	D	Q86WV6	11	3.4	369	379
6o8b	E	Q86WV6	12	3.4	368	379
6ogx	G	P43489	140	2.77	31	170
6o0h	A	P53396	1023	3.67	2	425	487	752	767	1099
6o0h	B	P53396	1023	3.67	2	425	487	752	767	1099
6o0h	C	P53396	1023	3.67	2	425	487	752	767	1099
6o0h	D	P53396	1023	3.67	2	425	487	752	767	1099
6oq3	A	O00522	310	1.85	417	647	652	730
6o4d	A	P49419	508	1.88	3	510
6o4d	B	P49419	510	1.88	2	511
6o4d	C	P49419	508	1.88	3	510
6o4d	D	P49419	509	1.88	3	511
6o4d	E	P49419	509	1.88	3	511
6o4d	F	P49419	509	1.88	3	511
6o4d	G	P49419	508	1.88	3	510
6o4d	H	P49419	509	1.88	3	511
6nra	C	P49368	509	7.7	16	524
6nra	E	P48643	517	7.7	25	541
6nra	F	P40227	514	7.7	12	525
6nra	G	Q99832	512	7.7	13	524
6nra	K	P49368	513	7.7	13	525
6nra	M	P48643	517	7.7	25	541
6nra	N	P40227	513	7.7	11	523
6nra	O	Q99832	514	7.7	12	525
6ohp	A	O14939	586	2.6	317	476	498	588	594	919	925	933
6ohp	B	O14939	584	2.6	318	475	498	589	594	918	925	933
6ohp	C	O14939	579	2.6	319	476	498	585	594	597	599	918	925	933
6ohp	D	O14939	582	2.6	317	476	498	585	594	918	925	933
6p5s	A	Q9H2X6	333	2.194	185	207	211	230	238	269	272	353	360	535
6pax	A	P26367	133	2.5	1	133
6p1l	A	P00533	288	2.8	701	750	753	858	876	1007
6p1l	B	P00533	292	2.8	702	860	876	1008
6p1l	C	P00533	280	2.8	702	748	756	858	876	1005
6p1l	D	P00533	296	2.8	702	858	876	1007	1009	1015
6pb1	A	P63092	224	2.8	11	60	208	251	262	303	307	394
6pb1	B	P62873	338	2.8	3	340
6pb1	P	Q13324	281	2.8	106	386
6pay	A	O75874	409	2.199	4	412
6pay	B	O75874	412	2.199	3	414
6pay	C	O75874	408	2.199	5	412
6pay	D	O75874	406	2.199	5	385	388	412
6pdi	A	P11309	274	1.85	32	305
6pdj	A	P06239	271	1.81	225	225	231	500
6pgp	A	P01116	169	1.5	1	169
6pgp	B	P01116	169	1.5	1	169
6pi7	G	Q96J94	6	2.8	3	8
6pob	A	P29475	416	1.95	302	343	349	722
6pob	B	P29475	411	1.95	304	344	353	722
6pue	A	Q95460	264	1.9	1	189	196	270
6pue	B	P61769	96	1.9	1	96
